Year,Quarter,Month,Month Name,Day,Date,Day_of_Week,Country,Region,City,Aircraft Manufacturer,Aircraft,Operator,Operator Category,Aboard,Fatalities (Air),Ground
1964,Qtr 4,11,November,15,1964-11-15,Sunday,United States,Nevada,Las Vegas,Fairchild,Fairchild F,Bonanza Airlines,Commercial,29,29.0,0
1957,Qtr 4,11,November,21,1957-11-21,Thursday,United States,New,Christchurch,Bristol 170 Freighter,Bristol 170 Freighter,Straits Air Freight Express New Zealand,Commercial,4,4.0,0
1945,Qtr 4,11,November,7,1945-11-07,Wednesday,United States,New,Grants,Budd,Budd Rb 1 Conestoga,Co Freight Skyway Mexiconational,Commercial,3,1.0,0
1954,Qtr 4,11,November,30,1954-11-30,Tuesday,United States,New,Berlin,Douglas,Douglas Dc,Northeast Airlines Hampshire,Commercial,7,2.0,0
1947,Qtr 4,11,November,11,1947-11-11,Tuesday,United States,New,Gallup,Douglas,Douglas Dc,American Airlines Mexico,Commercial,25,0.0,0
1962,Qtr 4,11,November,30,1962-11-30,Friday,United States,United States,,Douglas,Douglas Dc,Eastern Air Lines New York,Commercial,51,25.0,0
2002,Qtr 4,11,November,8,2002-11-08,Friday,United States,New,Taos,Iai 1124A,Iai 1124A,Richmor Aviation Mexico,Commercial,2,2.0,0
1943,Qtr 4,11,November,26,1943-11-26,Friday,United States,New,Port Moresby,Lockheed,Lockheed L 18,Guineaqantas,Commercial,15,15.0,0
1931,Qtr 4,11,November,5,1931-11-05,Thursday,United States,New,Camden,Lockheed,Lockheed Orion,Phil Jerseyny,Commercial,5,5.0,0
1951,Qtr 4,11,November,5,1951-11-05,Monday,United States,New,Tucumcari,Martin,Martin,Transocean Air Lines Mexico,Commercial,29,1.0,0
1933,Qtr 4,11,November,10,1933-11-10,Friday,United States,New,Moriarty,Northrop,Northrop,Air Western And Continental Mexicotrans,Commercial,1,0.0,0
1964,Qtr 4,11,November,17,1964-11-17,Tuesday,Canada,Newfoundland,Argentia,Lockheed,Lockheed P,Canada  U S Navy,Military,10,10.0,0
1956,Qtr 4,11,November,15,1956-11-15,Thursday,Nicaragua,Nicaragua,Puerto Somoza,Douglas,Douglas C 54A,Aerovias Guest,Commercial,25,25.0,0
1944,Qtr 4,11,November,29,1944-11-29,Wednesday,Nicaragua,Nicaragua,Tegucigalpa,Ford,Ford 5 At,TACA,Commercial,16,16.0,0
1969,Qtr 4,11,November,20,1969-11-20,Thursday,Nigeria,Nigeria,Ikeja,BAC,BAC VC 10,Nigeria Airways,Commercial,87,87.0,0
2001,Qtr 4,11,November,27,2001-11-27,Tuesday,Nigeria,Nigeria,Port Harcourt,Boeing,Boeing 747,Mk Airlines,Commercial,13,1.0,0
1996,Qtr 4,11,November,7,1996-11-07,Thursday,Nigeria,Nigeria,Lagos,Boeing,Boeing B 727,Aviation Development Corporation,Commercial,143,143.0,0
1995,Qtr 4,11,November,13,1995-11-13,Monday,Nigeria,Nigeria,Kaduna,Boeing,Boeing B 737,Nigeria Airways,Commercial,137,9.0,0
1983,Qtr 4,11,November,28,1983-11-28,Monday,Nigeria,Nigeria,Enugu,Fokker,Fokker F 28 Fellowship,Nigeria Airways,Commercial,72,53.0,0
1961,Qtr 4,11,November,21,1961-11-21,Tuesday,North,North,Mt Ruapehu,Aero Commander,Aero Commander 680,Plenty Airways Bay Island New Zealand,Commercial,6,6.0,0
1966,Qtr 4,11,November,20,1966-11-20,Sunday,North,North,New Bern,Martin,Martin,Piedmont Airlines Carolina,Commercial,3,3.0,0
1944,Qtr 4,11,November,9,1944-11-09,Thursday,Norway,Norway,Seljord,?42,?42,Corps Air Army U S,Military,0,0.0,0
1956,Qtr 4,11,November,7,1956-11-07,Wednesday,Norway,Norway,Hommelfjell,De Havilland,De Havilland Dh 114 Heron,Braathens,Commercial,12,2.0,0
1949,Qtr 4,11,November,20,1949-11-20,Sunday,Norway,Norway,Oslo,Douglas,Douglas C,Aero Holland,Commercial,35,34.0,0
1961,Qtr 4,11,November,30,1961-11-30,Thursday,Australia,Nsw,Sydney,Vickers,Vickers Viscount 720Vh Tvc,Ansett ANA Australia,Commercial,15,15.0,0
1967,Qtr 4,11,November,6,1967-11-06,Monday,United States,Ohio,Cincinnati,Boeing,Boeing B 707,Airlines World Trans,Commercial,36,1.0,0
1946,Qtr 4,11,November,11,1946-11-11,Monday,United States,Ohio,Cleveland,Douglas,Douglas Dc 3 (C,Lines Air United,Commercial,20,2.0,0
1949,Qtr 4,11,November,4,1949-11-04,Friday,United States,Ohio,Akron,Douglas,Douglas Dc,Inc Harrington S,Commercial,3,3.0,0
1928,Qtr 4,11,November,25,1928-11-25,Sunday,United States,Ohio,Bristolville,Douglas,Douglas M,National Air Transport,Commercial,1,1.0,0
1928,Qtr 4,11,November,24,1928-11-24,Saturday,United States,Ohio,Edgerton,Hamilton,Hamilton H,Universal Airlines,Commercial,3,3.0,0
1928,Qtr 4,11,November,25,1928-11-25,Sunday,United States,Ohio,Edgerton,Travel Air,Travel Air,Continental Air Lines,Commercial,1,1.0,0
1969,Qtr 4,11,November,9,1969-11-09,Sunday,Canada,Ontario,Timmins,Douglas,Douglas C,Austin Airways Canada,Commercial,4,2.0,0
2013,Qtr 4,11,November,10,2013-11-10,Sunday,Canada,Ontario,Red Lake,Swearingen,Swearingen Sa227 Ac Metro Iic,Bearskin Airlines Canada,Commercial,7,5.0,0
1933,Qtr 4,11,November,9,1933-11-09,Thursday,United States,Oregon,Portland,Boeing,Boeing 247,Lines Air United,Commercial,10,4.0,0
2010,Qtr 4,11,November,5,2010-11-05,Friday,Pakistan,Pakistan,Karachi,Beechcraft,Beechcraft 1900,Air JS,Commercial,21,21.0,0
1948,Qtr 4,11,November,26,1948-11-26,Friday,Pakistan,Pakistan,Vehari,Douglas,Douglas Dc 3Ap,Pakistan Airways,Commercial,21,21.0,0
2010,Qtr 4,11,November,28,2010-11-28,Sunday,Pakistan,Pakistan,Karachi,Ilyushin,Ilyushin Il,Sun Way,Commercial,8,8.0,4
2001,Qtr 4,11,November,22,2001-11-22,Thursday,United States,Pennsylvania,Pittsburgh,Learjet,Learjet,Universal Jet Aviation,Commercial,2,2.0,0
2022,Qtr 4,11,November,18,2022-11-18,Friday,Peru,Peru,Lima,Airbus,Airbus 320,LATAM,Commercial,108,0.0,2
1962,Qtr 4,11,November,27,1962-11-27,Tuesday,Peru,Peru,Lima,Boeing,Boeing B 707,Varig,Commercial,97,97.0,0
1984,Qtr 4,11,November,20,1984-11-20,Tuesday,Peru,Peru,Loja,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,TAME,Commercial,14,14.0,0
1950,Qtr 4,11,November,23,1950-11-23,Thursday,Peru,Peru,Cuzco,Douglas,Douglas Dc 3Ob,Faucett,Commercial,9,9.0,0
1994,Qtr 4,11,November,5,1994-11-05,Saturday,Peru,Peru,Saposa,Yakovlev,Yakovlev Yak,Amazonica SA,Commercial,30,6.0,0
1974,Qtr 4,11,November,15,1974-11-15,Friday,Philippines,Philippines,Manila,Douglas,Douglas C 47A,Air Orient Integrated Services,Commercial,8,1.0,0
1945,Qtr 4,11,November,13,1945-11-13,Tuesday,Philippines,Philippines,Tacloban,Douglas,Douglas C,Australian National Airways,Commercial,17,16.0,0
1947,Qtr 4,11,November,2,1947-11-02,Sunday,Philippines,Philippines,Barrio Rizal,Douglas,Douglas Dc 3,Philippine Air Express,Commercial,5,5.0,0
1960,Qtr 4,11,November,23,1960-11-23,Wednesday,Philippines,Philippines,Manila,Douglas,Douglas Dc 3Pi,Philippine Air Lines,Commercial,33,33.0,0
2002,Qtr 4,11,November,11,2002-11-11,Monday,Philippines,Philippines,Manila,Fokker,Fokker F27 Friendship 100Rp,Laoag International Airlines,Commercial,34,19.0,0
1988,Qtr 4,11,November,2,1988-11-02,Wednesday,Poland,Poland,Rzeszow,Antonov,Antonov An,LOT Polish Airlines,Commercial,29,1.0,0
1951,Qtr 4,11,November,15,1951-11-15,Thursday,Poland,Poland,Lodz,Lisunov,Lisunov Li,LOT Polish Airlines,Commercial,18,18.0,0
1937,Qtr 4,11,November,12,1937-11-12,Friday,Poland,Poland,Warsaw,Lockheed,Lockhed 10 Electrasp Ayd,Lot,Commercial,11,4.0,0
1937,Qtr 4,11,November,11,1937-11-11,Thursday,Poland,Poland,Warsaw,Lockheed,Lockheed 10 Electrasp Ayd,LOT Polish Airlines,Commercial,11,4.0,0
1959,Qtr 4,11,November,4,1959-11-04,Wednesday,Canada,Quebec,St. Cleophas,Douglas,Douglas C,Wheeler Airlines Canada,Commercial,5,5.0,0
2001,Qtr 4,11,November,12,2001-11-12,Monday,Queens,Queens,Belle Harbor,Airbus,Airbus A 300,New York American Airlines,Commercial,260,260.0,5
1989,Qtr 4,11,November,28,1989-11-28,Tuesday,United States,Rhode,Block,Britten-Norman,Britten Norman Bn,New Island Airlines England,Commercial,8,8.0,0
1947,Qtr 4,11,November,21,1947-11-21,Friday,Romania,Romania,Phouznicie,Lisunov,Lisunov Li 2Yr,TARS,Commercial,26,13.0,0
1979,Qtr 4,11,November,28,1979-11-28,Wednesday,Ross,Ross,Mt. Erebus,Mcdonnell Douglas,Mcdonnell Douglas Dc 10,Air New Zealand Ice Shelf Antarctica,Commercial,257,257.0,0
1998,Qtr 4,11,November,11,1998-11-11,Wednesday,Russia,Russia,Krasnoyarsk,Antonov,Antonov An,Sakha Airlines,Commercial,13,13.0,0
1969,Qtr 4,11,November,13,1969-11-13,Thursday,Russia,Russia,Anderma,Antonov,Antonov An,Aeroflot,Commercial,12,12.0,0
1991,Qtr 4,11,November,16,1991-11-16,Saturday,Russia,Russia,Anderma,Antonov,Antonov An 12V,Aeroflot,Commercial,20,20.0,0
1974,Qtr 4,11,November,1,1974-11-01,Friday,Russia,Russia,Surgut,Antonov,Antonov An 2 Mil Mi,Aeroflot,Commercial,38,38.0,0
1992,Qtr 4,11,November,11,1992-11-11,Wednesday,Russia,Russia,Tver,Antonov,Antonov An,Force Air Russian,Military,33,33.0,0
1991,Qtr 4,11,November,26,1991-11-26,Tuesday,Russia,Russia,Bugulma,Antonov,Antonov An,Airlines Tartarstan,Commercial,41,41.0,0
1989,Qtr 4,11,November,21,1989-11-21,Tuesday,Russia,Russia,Tyumem,Antonov,Antonov An,Aeroflot,Commercial,42,34.0,0
1971,Qtr 4,11,November,12,1971-11-12,Friday,Russia,Russia,Vinnitsa,Antonov,Antonov An,Aeroflot,Commercial,48,48.0,0
1996,Qtr 4,11,November,14,1996-11-14,Thursday,Russia,Russia,Bolchaïa Pyssa,Antonov,Antonov An 2Ra,Avia Komi,Commercial,15,14.0,0
2013,Qtr 4,11,November,17,2013-11-17,Sunday,Russia,Russia,Kazan,Boeing,Boeing 737,Airlilnes Tararstan,Commercial,50,50.0,0
1946,Qtr 4,11,November,5,1946-11-05,Tuesday,Russia,Russia,Moscow,Douglas,Douglas C,Aeroflot,Commercial,26,13.0,0
1942,Qtr 4,11,November,17,1942-11-17,Tuesday,Russia,Russia,Kranoyarsk,Grazhdansky Vozdushnyi Flot,Grazhdansky Vozdushnyi Flot Ps,Kranoyarskie Vozhjushnye Trassy,Commercial,20,20.0,0
1957,Qtr 4,11,November,4,1957-11-04,Monday,Russia,Russia,Moscow,Ilyushin,Ilushin Il,Tarom,Commercial,16,4.0,0
2001,Qtr 4,11,November,19,2001-11-19,Monday,Russia,Russia,Kalyazin,Ilyushin,Ilyushin 18Vra,Aero Irs Charter,Chartered,27,27.0,0
1951,Qtr 4,11,November,17,1951-11-17,Saturday,Russia,Russia,Novosibirsk,Ilyushin,Ilyushin Il,Aeroflot,Commercial,23,23.0,0
1967,Qtr 4,11,November,16,1967-11-16,Thursday,Russia,Russia,Sverdlovsk,Ilyushin,Ilyushin Il,Aeroflot,Commercial,107,107.0,0
2009,Qtr 4,11,November,1,2009-11-01,Sunday,Russia,Russia,Mirny,Ilyushin,Ilyushin Il,Russian Ministry of Interior,Government/Other,11,11.0,0
1948,Qtr 4,11,November,22,1948-11-22,Monday,Russia,Russia,Ryzhovo,Lisunov,Lisunov Li 2Cccp L,Aeroflot,Commercial,26,23.0,0
1972,Qtr 4,11,November,28,1972-11-28,Tuesday,Russia,Russia,Moscow,Mcdonnell Douglas,Mcdonnell Douglas Dc 8,Lines Air Japan,Commercial,76,62.0,0
2015,Qtr 4,11,November,24,2015-11-24,Tuesday,Russia,Russia,Igarka,Mil,Mil Mi,Turuhan Avia,Commercial,26,15.0,0
2010,Qtr 4,11,November,25,2010-11-25,Thursday,Russia,Russia,Strezhevoy,Mil,Mil Mi,Narz,Commercial,10,7.0,0
1976,Qtr 4,11,November,28,1976-11-28,Sunday,Russia,Russia,Moscow,Tupolev,Tupolev Tu,Aeroflot,Commercial,73,73.0,0
1965,Qtr 4,11,November,10,1965-11-10,Wednesday,Russia,Russia,Murmansk,Tupolev,Tupolev Tu,Aeroflot,Commercial,64,32.0,0
2009,Qtr 4,11,November,1,2009-11-01,Sunday,Russia,Russia,Mongokhto,Tupolev,Tupolev Tu,Navy Russian,Military,11,11.0,0
1981,Qtr 4,11,November,16,1981-11-16,Monday,Russia,Russia,Norilsk,Tupolev,Tupolev Tu,Aeroflot,Commercial,167,99.0,0
1991,Qtr 4,11,November,7,1991-11-07,Thursday,Russia,Russia,Makhackala,Yakovlev,Yakovlev Yak,Aeroflot,Commercial,51,51.0,0
1979,Qtr 4,11,November,16,1979-11-16,Friday,Russia,Russia,Vologda,Yakovlev,Yakovlev Yak,Aeroflot,Commercial,5,3.0,0
2009,Qtr 4,11,November,12,2009-11-12,Thursday,Rwanda,Rwanda,Kigali,Canadair,Canadair CRJ,Rwandair,Commercial,15,1.0,0
1981,Qtr 4,11,November,30,1981-11-30,Monday,Saint,Saint,Castries,Douglas,Douglas Dc,Guyana Lucia Island Airways,Commercial,3,3.0,0
1938,Qtr 4,11,November,18,1938-11-18,Friday,Canada,Saskatchewan,Regina,Lockheed,Lockheed 14 Electracf Tcl,Canada Trans Canada Air Lines,Commercial,2,2.0,0
1953,Qtr 4,11,November,11,1953-11-11,Wednesday,United Kingdom,Scotland,Argyll,Avro,Avro Shackleton,Force Air Royal,Military,10,10.0,0
1986,Qtr 4,11,November,6,1986-11-06,Thursday,Shetlands,Shetlands,Sumburgh Head,Boeing,Boeing Vertol,British International Helicopters Scotland,Private,47,45.0,0
1996,Qtr 4,11,November,27,1996-11-27,Wednesday,Siberia,Siberia,Abakan,Ilyushin,Ilyushin Il,Russia  Russian Air Force,Military,23,23.0,0
2015,Qtr 4,11,November,21,2015-11-21,Saturday,South,South,Fox Glacier,Aerospatiale,Aerospatiale As 350B2 Ecureuilzk Hku,Alpine Adventures Valley New Zealand,Commercial,7,7.0,0
2015,Qtr 4,11,November,4,2015-11-04,Wednesday,South,South,Juba,Antonov,Antonov 12Bkey 406,Allied Services Limited Sudan,Commercial,43,41.0,0
1980,Qtr 4,11,November,19,1980-11-19,Wednesday,South,South,Seoul,Boeing,Boeing B 747,Airlines Koreakorean,Commercial,226,15.0,0
1971,Qtr 4,11,November,28,1971-11-28,Sunday,South,South,Hue,Boeing Vertol,Boeing Vertol Ch,Army U S Vietnammilitary,Military,34,34.0,0
1931,Qtr 4,11,November,13,1931-11-13,Friday,South,South,Sir Lowry'S Pass,De Havilland,De Havilland Dh.80Zs Acd,Airways Africaunion,Commercial,3,3.0,0
1967,Qtr 4,11,November,30,1967-11-30,Thursday,South,South,Qui Nhon,De Havilland Canada,De Havilland Canada C 7A,Force Air U S Vietnammilitary,Military,26,26.0,0
1966,Qtr 4,11,November,26,1966-11-26,Saturday,South,South,Saigon,Douglas,Douglas C,Force Air U S Vietnammilitary,Military,31,31.0,0
1973,Qtr 4,11,November,17,1973-11-17,Saturday,South,South,Quang-Ngai,Douglas,Douglas Dc 3Xv,Vietnam South Vietnam Vietnamair,Commercial,27,27.0,0
1962,Qtr 4,11,November,10,1962-11-10,Saturday,South,South,Tourane,Douglas,Douglas Dc 3Xv,Vietnam South Vietnam Vietnamair,Commercial,27,27.0,0
1952,Qtr 4,11,November,14,1952-11-14,Friday,South,South,Seoul,Fairchild,Fairchild C,Force Air U S Koreamilitary,Military,44,44.0,0
1970,Qtr 4,11,November,29,1970-11-29,Sunday,South,South,Cam Ranh,Fairchild,Fairchild C,Force Air U S Vietnammilitary,Military,44,42.0,0
1970,Qtr 4,11,November,27,1970-11-27,Friday,South,South,Nha Trang,Fairchild,Fairchild C,Force Air U S Vietnammilitary,Military,79,79.0,0
1989,Qtr 4,11,November,25,1989-11-25,Saturday,South,South,Seoul,Fokker,Fokker F 28 Fellowship,Airlines Koreakorean,Commercial,52,1.0,0
1983,Qtr 4,11,November,27,1983-11-27,Sunday,Spain,Spain,Madrid-Barajas,Boeing,Boeing B 747,Avianca,Commercial,192,181.0,0
1974,Qtr 4,11,November,22,1974-11-22,Friday,Spain,Spain,Barcelona,Cessna,Cessna 500 Citation,Aéreos Servicios Alpa,Commercial,4,4.0,0
1957,Qtr 4,11,November,15,1957-11-15,Friday,Spain,Spain,Palma De Mallorca,De Havilland,De Havilland Dh 114 Heron,Aviaco,Commercial,4,4.0,0
1995,Qtr 4,11,November,22,1995-11-22,Wednesday,Sri,Sri,Jaffna Peninsula,Antonov,Antonov An,Force Air Lanka Sri Lankamilitary,Military,63,63.0,0
1978,Qtr 4,11,November,15,1978-11-15,Wednesday,Sri,Sri,Katunayake,Mcdonnell Douglas,Mcdonnell Douglas Dc 8,Airlines Icelandic Lankaloftleidir,Commercial,262,183.0,0
2007,Qtr 4,11,November,8,2007-11-08,Thursday,Sudan,Sudan,Khartoum,Antonov,Antonov 12St Jua,Juba Air Cargo,Commercial,4,0.0,2
1929,Qtr 4,11,November,6,1929-11-06,Wednesday,United Kingdom,Surrey,Godstone,Junkers,Junkers G 24D,England Deutsche Lufthansa,Commercial,8,7.0,0
1967,Qtr 4,11,November,4,1967-11-04,Saturday,United Kingdom,Sussex,Fernhurst,Sud Aviation Caravelle,Sud Aviation Caravelle 10Rec Bdd,England Iberia Airlines,Commercial,37,37.0,0
1964,Qtr 4,11,November,20,1964-11-20,Friday,Sweden,Sweden,Angelholm,Convair,Convair Cv,Linjeflyg,Commercial,43,31.0,0
1944,Qtr 4,11,November,29,1944-11-29,Wednesday,Sweden,Sweden,Falsterbo,Focke,Focke Wulf Fw,Lufthansa Deutsche,Commercial,10,10.0,0
2001,Qtr 4,11,November,24,2001-11-24,Saturday,Switzerland,Switzerland,Birchwil,British Aerospace,Bae Avro Rj100Hb Ixm,Crossair,Commercial,33,24.0,0
1951,Qtr 4,11,November,24,1951-11-24,Saturday,Switzerland,Switzerland,Zurich,Douglas,Douglas Dc 44X,El Al,Commercial,7,6.0,0
1956,Qtr 4,11,November,24,1956-11-24,Saturday,Switzerland,Switzerland,Eglisau,Ilyushin,Ilyushin Il,Ceskoslovenske Aerolinie,Commercial,23,23.0,0
1990,Qtr 4,11,November,14,1990-11-14,Wednesday,Switzerland,Switzerland,Stadelberg,Mcdonnell Douglas,Mcdonnell Douglas Dc 9,Alitalia,Commercial,46,46.0,0
1971,Qtr 4,11,November,21,1971-11-21,Sunday,Taiwan,Taiwan,Penghu,Sud Aviation,Sud Aviation Se 210 Caravelle,Taiwan Airlines China,Commercial,25,25.0,0
2022,Qtr 4,11,November,6,2022-11-06,Sunday,Tanzania,Tanzania,Bukoba,Atr,Atr 42,Air Precision,Commercial,43,19.0,0
2017,Qtr 4,11,November,15,2017-11-15,Wednesday,Tanzania,Tanzania,Empakaai,Cessna,Cessna 208B Grand Caravan,Coastal Aviation,Commercial,11,11.0,0
1949,Qtr 4,11,November,29,1949-11-29,Tuesday,United States,Texas,Dallas,Douglas,Douglas Dc,Airlines American,Commercial,46,28.0,0
1980,Qtr 4,11,November,28,1980-11-28,Friday,United States,Texas,Pecos City,Douglas,Douglas Dc,Services Air Central,Commercial,2,2.0,0
2004,Qtr 4,11,November,22,2004-11-22,Monday,United States,Texas,Houston,Grumman,Grumman Gulfstream,Business Jet Services,Commercial,3,3.0,0
1935,Qtr 4,11,November,9,1935-11-09,Saturday,United States,Texas,Fort Worth,Lockheed,Lockheed,Braniff Airlines,Commercial,1,1.0,0
1945,Qtr 4,11,November,8,1945-11-08,Thursday,United States,Texas,Corpus Christi,Martin,Martin Pbm 3S Martin Pbm,Navy U S  Navy U S,Military,27,22.0,0
1990,Qtr 4,11,November,21,1990-11-21,Wednesday,Thailand,Thailand,Koh Samui,De Havilland Canada,De Havilland Canada Dhc 8,Bangkok Airways,Commercial,38,38.0,0
2007,Qtr 4,11,November,30,2007-11-30,Friday,Turkey,Turkey,Isparta,Mcdonnell Douglas,Mcdonnell Douglas Md,Atlasjet Airlines,Commercial,57,57.0,0
1990,Qtr 4,11,November,19,1990-11-19,Monday,Turkmenistan,Turkmenistan,Ashkhabad,Mil,Mil Mi,Aeroflot,Commercial,15,15.0,0
1941,Qtr 4,11,November,29,1941-11-29,Saturday,Turkmenistan,Turkmenistan,Chardzhou,Tupolev,Tupolev Ant 6Cp,Aeroflot,Commercial,36,7.0,0
1959,Qtr 4,11,November,16,1959-11-16,Monday,Ukraine,Ukraine,Lvov,Antonov,Antonov An,Aeroflot,Commercial,40,40.0,0
1975,Qtr 4,11,November,20,1975-11-20,Thursday,Ukraine,Ukraine,Kharkov,Antonov,Antonov An,Aeroflot,Commercial,50,19.0,0
1933,Qtr 4,11,November,21,1933-11-21,Tuesday,Ukraine,Ukraine,Kharkov,Kalinin,Kalinin K 7,Aeroflot Kalinin,Commercial,20,14.0,0
1937,Qtr 4,11,November,26,1937-11-26,Friday,United,United,Croydon,Junkers,Junkers Ju 52D,Lufthansa Kingdomdeutsche,Commercial,3,3.0,0
1991,Qtr 4,11,November,20,1991-11-20,Wednesday,Soviet Union,Ussrmilitary,Nagoro-Karabak,Mil,Mil Mi 8 (Helicopter),Force Air Soviet,Commercial,23,23.0,0
1991,Qtr 4,11,November,1,1991-11-01,Friday,Soviet Union,Ussrmilitary,Karakent,Mil,Mil Mi 8 (Helicopter),Force Air Azerbaijan,Commercial,40,40.0,0
1931,Qtr 4,11,November,23,1931-11-23,Monday,United States,Utah,Salt Lake City,Boeing,Boeing,Transport Air Boeing,Commercial,1,1.0,0
1965,Qtr 4,11,November,11,1965-11-11,Thursday,United States,Utah,Salt Lake City,Boeing,Boeing B 727,Lines Air United,Commercial,91,43.0,0
1965,Qtr 4,11,November,27,1965-11-27,Saturday,United States,Utah,Salt Lake City,Douglas,Douglas C 53,Edde Airlines,Commercial,13,13.0,0
1940,Qtr 4,11,November,4,1940-11-04,Monday,United States,Utah,Centerville,Douglas,Douglas Dc,Lines Air United,Commercial,10,10.0,0
1979,Qtr 4,11,November,18,1979-11-18,Sunday,United States,Utah,Granger,Lockheed,Lockheed L 188Cf,Transamerica Airlines,Commercial,3,3.0,0
2004,Qtr 4,11,November,18,2004-11-18,Thursday,Venezuela,Venezuela,Caracas,British Aerospace,Bae 3101 Jetstream 31Yv,Venezolana,Commercial,21,3.0,0
1989,Qtr 4,11,November,28,1989-11-28,Tuesday,Venezuela,Venezuela,Charallave,Cessna,Cessna 402,Lineas Aereas Cave,Commercial,7,3.0,0
1978,Qtr 4,11,November,21,1978-11-21,Tuesday,Venezuela,Venezuela,Rubio,Douglas,Douglas C,El Venado Aereo,Commercial,27,27.0,0
1956,Qtr 4,11,November,27,1956-11-27,Tuesday,Venezuela,Venezuela,Caracas,Lockheed,Lockheed 749 79,Linea Aeropostal Venezolana,Commercial,25,25.0,0
1992,Qtr 4,11,November,14,1992-11-14,Saturday,Vietnam,Vietnam,Nha Trang,Yakovlev,Yakovlev Yak,Vietnam Airlines,Commercial,31,30.0,0
1949,Qtr 4,11,November,1,1949-11-01,Tuesday,United States,Virginia,Arlington,Douglas,Douglas C 54B P,Force Air Bolivian  Lines Air Eastern,Military,55,55.0,0
1961,Qtr 4,11,November,8,1961-11-08,Wednesday,United States,Virginia,Richmond,Lockheed,Lockheed C 69,Imperial Airways,Commercial,79,76.0,0
1955,Qtr 4,11,November,17,1955-11-17,Thursday,United States,Washingon,Seattle,Douglas,Douglas C,Peninsular,Commercial,74,28.0,0
1931,Qtr 4,11,November,26,1931-11-26,Thursday,United States,Washington,Pasco,Boeing,Boeing,Varney Air Lines,Commercial,1,1.0,0
1947,Qtr 4,11,November,30,1947-11-30,Sunday,United States,Washington,Seattle,Douglas,Douglas C,Alaska Airlines,Commercial,28,8.0,1
1952,Qtr 4,11,November,28,1952-11-28,Friday,United States,Washington,Tacoma,Douglas,Douglas C 54G (Dc,Force Air U S,Military,38,37.0,0
1929,Qtr 4,11,November,30,1929-11-30,Saturday,United States,Washington,Vancouver,Stearman,Stearman M 2,Varney Air Lines,Commercial,1,1.0,0
2003,Qtr 4,11,November,29,2003-11-29,Saturday,United States,Washington,Spokane,Swearingen,Swearingen Sa227At Merlin,Ameriflight,Commercial,1,1.0,0
1978,Qtr 4,11,November,18,1978-11-18,Saturday,West,West,Marie Galante,De Havilland Canada,De Havilland Canada Dhc 6 Twin Otter,Air Indies Guadeloupe,Commercial,20,15.0,0
1957,Qtr 4,11,November,3,1957-11-03,Sunday,West,West,Dusseldorf,Douglas,Douglas Dc 4D,Herfurtner Company Germany,Commercial,10,7.0,1
1970,Qtr 4,11,November,14,1970-11-14,Saturday,West,West,Huntington,Mcdonnell Douglas,Mcdonnell Douglas Dc 9,Southern Airways Virginia,Commercial,75,75.0,0
1920,Qtr 4,11,November,7,1920-11-07,Sunday,United States,Wyoming,Tie Siding,De Havilland,De Havilland Dh 4,US Aerial Mail Service,Commercial,1,1.0,0
1950,Qtr 4,11,November,21,1950-11-21,Tuesday,United States,Wyoming,Moran Junction,Douglas,Douglas Dc,New Tribes Mission,Commercial,21,21.0,0
2012,Qtr 4,11,November,21,2012-11-21,Wednesday,Yemen,Yemen,San'A,Antonov,Antonov An,Force Air Yemen,Military,10,10.0,0
1966,Qtr 4,11,November,22,1966-11-22,Tuesday,Yemen,Yemen,Aden,Douglas,Douglas Dc 3Vr,Aden Airways,Commercial,30,30.0,0
1947,Qtr 4,11,November,27,1947-11-27,Thursday,Yugoslavia,Yugoslavia,Montenegrin Mountains,Lisunov,Lisunov Li 2Yu,JAT Yugoslav Airlines,Commercial,22,22.0,0
1944,Qtr 4,11,November,10,1944-11-10,Friday,China,Yunan,Kumming,Lockheed,Lockheed Hudson,CATC China,Commercial,20,20.0,0
1961,Qtr 4,11,November,22,1961-11-22,Wednesday,Zimbabwe,Zimbabwe,Harare,?Vp,?Vp Yrx,Rhodesian Air Services,Commercial,3,3.0,0
1936,Qtr 4,10,October,6,1936-10-06,Tuesday,United States,Rueda,Francisco,Lockheed,Lockheed Orionxa Bdh,Mexicana Tabasco Mexico,Commercial,1,1.0,0
1947,Qtr 4,10,October,14,1947-10-14,Tuesday,800,800,Ocean,Boeing,Boeing 314,American Airlines Newfoundland International,Commercial,69,0.0,0
1984,Qtr 4,10,October,27,1984-10-27,Saturday,Afghanistan,Afghanistan,Kabul,Ilyushin,Ilyushin Il,Force Air Soviet Mililtary,Commercial,11,11.0,0
2015,Qtr 4,10,October,2,2015-10-02,Friday,Afghanistan,Afghanistan,Jalalabad,Lockheed,Lockheed C 130J,Army U S,Military,11,11.0,2
2010,Qtr 4,10,October,12,2010-10-12,Tuesday,Afghanistan,Afghanistan,Kabul,Lockheed,Lockheed L 100,Cargo Air National,Commercial,8,8.0,0
1997,Qtr 4,10,October,29,1997-10-29,Wednesday,Afghanistan,Afghanistan,Jalal-Abad,Yakovlev,Yakovlev Yak,Ariana Afghan Airlines,Commercial,26,2.0,0
1978,Qtr 4,10,October,8,1978-10-08,Sunday,United States,Alaska,Kenai,Bell,Bell 205,Taxi Air Helicopter Era,Commercial,7,2.0,0
